date,product_id,price,competitor_price,quantity_sold,cost_per_unit,promotion_flag,is_weekend,channel,region,year,month,day_of_week,day_of_year
2021-02-13,A,85.76,79.8,13,60,0,1,Online,South,2021,2,5,44
2021-02-14,A,102.6,104.75,12,60,0,1,Store,South,2021,2,6,45
2021-02-15,A,80.41,75.48,12,60,0,0,Store,North,2021,2,0,46
2021-02-16,A,85.61,80.31,17,60,1,0,Store,North,2021,2,1,47
2021-02-17,A,89.01,75.79,11,60,0,0,Online,West,2021,2,2,48
2021-02-18,A,114.31,127.68,10,60,0,0,Online,South,2021,2,3,49
2021-02-19,A,128.34,121.73,8,60,0,0,Store,South,2021,2,4,50
2021-02-20,A,93.78,80.77,16,60,1,1,Online,West,2021,2,5,51
2021-02-21,A,114.5,106.65,13,60,1,1,Online,South,2021,2,6,52
2021-02-22,A,100.68,101.91,10,60,0,0,Store,North,2021,2,0,53
2021-02-23,A,98.39,96.43,10,60,0,0,Online,South,2021,2,1,54
2021-02-24,A,88.42,79.76,14,60,0,0,Online,South,2021,2,2,55
2021-02-25,A,102.76,103.27,11,60,0,0,Online,North,2021,2,3,56
2021-02-26,A,77.21,73.87,13,60,0,0,Online,South,2021,2,4,57
2021-02-27,A,110.49,105.39,12,60,0,1,Store,South,2021,2,5,58
2021-02-28,A,123.15,106.35,12,60,0,1,Store,South,2021,2,6,59
2021-03-01,A,147.81,155.96,8,60,0,0,Store,South,2021,3,0,60
2021-03-02,A,101.05,114.39,11,60,0,0,Online,West,2021,3,1,61
2021-03-03,A,103.4,113.35,11,60,0,0,Store,West,2021,3,2,62
2021-03-04,A,92.7,87.67,15,60,1,0,Online,South,2021,3,3,63
2021-03-05,A,99.57,105.34,10,60,0,0,Store,West,2021,3,4,64
2021-03-06,A,112.19,104.86,12,60,0,1,Store,West,2021,3,5,65
2021-03-07,A,124.16,110.29,11,60,0,1,Online,East,2021,3,6,66
2021-03-08,A,123.29,132.71,9,60,0,0,Store,South,2021,3,0,67
2021-03-09,A,72.0,67.63,15,60,0,0,Online,North,2021,3,1,68
2021-03-10,A,104.86,119.04,11,60,0,0,Store,North,2021,3,2,69
2021-03-11,A,103.03,104.69,10,60,0,0,Store,West,2021,3,3,70
2021-03-12,A,89.51,90.84,13,60,0,0,Store,East,2021,3,4,71
2021-03-13,A,113.33,125.81,16,60,1,1,Online,West,2021,3,5,72
2021-03-14,A,92.93,81.36,18,60,1,1,Online,North,2021,3,6,73
2021-03-15,A,95.24,106.89,13,60,0,0,Online,West,2021,3,0,74
2021-03-16,A,72.0,80.78,19,60,0,0,Online,North,2021,3,1,75
2021-03-17,A,121.66,130.45,8,60,0,0,Store,East,2021,3,2,76
2021-03-18,A,107.79,122.74,13,60,0,0,Online,West,2021,3,3,77
2021-03-19,A,72.0,78.53,22,60,1,0,Online,East,2021,3,4,78
2021-03-20,A,101.04,115.99,15,60,0,1,Online,West,2021,3,5,79
2021-03-21,A,89.47,102.78,14,60,0,1,Online,East,2021,3,6,80
2021-03-22,A,132.85,123.97,8,60,0,0,Online,South,2021,3,0,81
2021-03-23,A,88.65,84.93,12,60,0,0,Online,East,2021,3,1,82
2021-03-24,A,72.0,78.78,17,60,0,0,Online,South,2021,3,2,83
2021-03-25,A,125.27,141.02,8,60,0,0,Store,East,2021,3,3,84
2021-03-26,A,117.69,134.9,10,60,0,0,Online,East,2021,3,4,85
2021-03-27,A,117.3,119.73,11,60,0,1,Online,East,2021,3,5,86
2021-03-28,A,98.37,109.13,18,60,1,1,Store,South,2021,3,6,87
2021-03-29,A,102.5,109.45,13,60,0,0,Online,North,2021,3,0,88
2021-03-30,A,83.99,95.43,14,60,0,0,Online,North,2021,3,1,89
2021-03-31,A,72.0,79.16,16,60,0,0,Store,West,2021,3,2,90
2021-04-01,A,115.4,112.06,10,60,0,0,Online,East,2021,4,3,91
2021-04-02,A,108.91,118.87,16,60,1,0,Store,South,2021,4,4,92
2021-04-03,A,115.88,112.13,10,60,0,1,Store,West,2021,4,5,93
2021-04-04,A,72.0,80.87,23,60,0,1,Online,North,2021,4,6,94
2021-04-05,A,99.78,92.54,12,60,0,0,Store,North,2021,4,0,95
2021-04-06,A,82.78,84.76,13,60,0,0,Online,East,2021,4,1,96
2021-04-07,A,105.5,95.43,10,60,0,0,Store,East,2021,4,2,97
2021-04-08,A,107.02,110.29,11,60,0,0,Store,South,2021,4,3,98
2021-04-09,A,87.77,76.94,12,60,0,0,Online,South,2021,4,4,99
2021-04-10,A,81.72,71.73,14,60,0,1,Store,West,2021,4,5,100
2021-04-11,A,98.32,107.35,14,60,0,1,Online,East,2021,4,6,101
2021-04-12,A,112.0,103.13,10,60,0,0,Online,South,2021,4,0,102
2021-04-13,A,112.77,126.14,10,60,0,0,Online,North,2021,4,1,103
2021-04-14,A,94.63,91.71,13,60,0,0,Store,West,2021,4,2,104
2021-04-15,A,90.3,80.0,14,60,1,0,Online,West,2021,4,3,105
2021-04-16,A,120.15,119.41,9,60,0,0,Store,East,2021,4,4,106
2021-04-17,A,93.39,82.96,16,60,0,1,Online,South,2021,4,5,107
2021-04-18,A,78.77,78.73,18,60,0,1,Store,North,2021,4,6,108
2021-04-19,A,90.24,81.76,12,60,0,0,Online,East,2021,4,0,109
2021-04-20,A,111.96,95.35,13,60,1,0,Online,South,2021,4,1,110
2021-04-21,A,107.92,109.76,11,60,0,0,Online,West,2021,4,2,111
2021-04-22,A,86.35,92.47,14,60,0,0,Store,South,2021,4,3,112
2021-04-23,A,109.58,98.22,9,60,0,0,Online,North,2021,4,4,113
2021-04-24,A,88.78,90.07,12,60,0,1,Online,West,2021,4,5,114
2021-04-25,A,90.97,95.92,16,60,0,1,Online,West,2021,4,6,115
2021-04-26,A,119.33,105.25,12,60,1,0,Store,South,2021,4,0,116
2021-04-27,A,105.57,119.45,11,60,0,0,Online,West,2021,4,1,117
2021-04-28,A,108.69,116.86,11,60,0,0,Store,North,2021,4,2,118
2021-04-29,A,108.15,108.9,12,60,0,0,Store,North,2021,4,3,119
2021-04-30,A,92.49,98.42,18,60,1,0,Store,North,2021,4,4,120
2021-05-01,A,100.28,92.22,18,60,1,1,Online,South,2021,5,5,121
2021-05-02,A,72.0,68.39,19,60,0,1,Store,West,2021,5,6,122
2021-05-03,A,107.64,108.72,15,60,1,0,Store,South,2021,5,0,123
2021-05-04,A,112.42,121.82,11,60,0,0,Online,South,2021,5,1,124
2021-05-05,A,107.18,102.11,13,60,1,0,Online,West,2021,5,2,125
2021-05-06,A,133.86,133.95,8,60,0,0,Online,West,2021,5,3,126
2021-05-07,A,114.46,119.3,11,60,0,0,Online,East,2021,5,4,127
2021-05-08,A,117.73,133.94,12,60,0,1,Online,East,2021,5,5,128
2021-05-09,A,109.82,98.4,11,60,0,1,Online,North,2021,5,6,129
2021-05-10,A,113.02,116.17,9,60,0,0,Store,North,2021,5,0,130
2021-05-11,A,103.25,92.49,11,60,0,0,Store,South,2021,5,1,131
2021-05-12,A,95.06,85.52,10,60,0,0,Store,North,2021,5,2,132
2021-05-13,A,100.84,103.6,12,60,0,0,Online,North,2021,5,3,133
2021-05-14,A,109.24,112.64,9,60,0,0,Online,South,2021,5,4,134
2021-05-15,A,96.55,92.12,13,60,0,1,Online,East,2021,5,5,135
2021-05-16,A,107.08,96.33,9,60,0,1,Online,North,2021,5,6,136
2021-05-17,A,127.73,109.08,9,60,0,0,Online,West,2021,5,0,137
2021-05-18,A,134.15,148.66,7,60,0,0,Online,East,2021,5,1,138
2021-05-19,A,89.84,96.57,12,60,0,0,Store,West,2021,5,2,139
2021-05-20,A,133.85,128.94,9,60,1,0,Online,North,2021,5,3,140
2021-05-21,A,96.18,96.88,12,60,0,0,Online,South,2021,5,4,141
2021-05-22,A,94.65,89.95,12,60,0,1,Store,South,2021,5,5,142
2021-05-23,A,112.5,109.42,9,60,0,1,Online,South,2021,5,6,143
2021-05-24,A,96.15,97.64,12,60,0,0,Online,East,2021,5,0,144
2021-05-25,A,92.13,96.35,12,60,0,0,Online,West,2021,5,1,145
2021-05-26,A,100.2,109.42,13,60,1,0,Store,South,2021,5,2,146
2021-05-27,A,90.14,100.86,10,60,0,0,Online,East,2021,5,3,147
2021-05-28,A,104.95,111.38,13,60,1,0,Store,East,2021,5,4,148
2021-05-29,A,89.43,91.86,11,60,0,1,Store,South,2021,5,5,149
2021-05-30,A,90.59,100.4,14,60,0,1,Store,West,2021,5,6,150
2021-05-31,A,114.58,124.88,9,60,0,0,Online,South,2021,5,0,151
2021-06-01,A,113.05,109.74,10,60,0,0,Store,South,2021,6,1,152
2021-06-02,A,100.28,90.4,10,60,0,0,Online,South,2021,6,2,153
2021-06-03,A,120.2,120.13,8,60,0,0,Online,South,2021,6,3,154
2021-06-04,A,92.96,79.33,10,60,0,0,Store,South,2021,6,4,155
2021-06-05,A,86.4,89.85,14,60,0,1,Online,North,2021,6,5,156
2021-06-06,A,72.39,72.8,13,60,0,1,Online,East,2021,6,6,157
2021-06-07,A,96.62,108.67,11,60,0,0,Store,South,2021,6,0,158
2021-06-08,A,131.22,148.42,7,60,0,0,Online,West,2021,6,1,159
2021-06-09,A,81.52,89.87,14,60,1,0,Store,East,2021,6,2,160
2021-06-10,A,117.24,103.4,7,60,0,0,Store,North,2021,6,3,161
2021-06-11,A,111.52,110.17,10,60,0,0,Online,West,2021,6,4,162
2021-06-12,A,83.68,85.95,13,60,0,1,Online,East,2021,6,5,163
2021-06-13,A,103.26,90.46,14,60,1,1,Store,East,2021,6,6,164
2021-06-14,A,108.4,114.65,12,60,1,0,Online,North,2021,6,0,165
2021-06-15,A,120.32,104.14,8,60,0,0,Online,West,2021,6,1,166
2021-06-16,A,112.28,96.58,8,60,0,0,Online,West,2021,6,2,167
2021-06-17,A,97.06,105.66,8,60,0,0,Online,East,2021,6,3,168
2021-06-18,A,114.07,98.23,7,60,0,0,Online,West,2021,6,4,169
2021-06-19,A,115.28,116.33,9,60,0,1,Online,East,2021,6,5,170
2021-06-20,A,106.19,115.45,8,60,0,1,Store,West,2021,6,6,171
2021-06-21,A,115.15,112.3,7,60,0,0,Store,East,2021,6,0,172
2021-06-22,A,101.23,114.57,10,60,0,0,Store,West,2021,6,1,173
2021-06-23,A,99.64,102.05,8,60,0,0,Online,South,2021,6,2,174
2021-06-24,A,74.77,80.1,9,60,0,0,Online,South,2021,6,3,175
2021-06-25,A,111.79,119.02,7,60,0,0,Online,North,2021,6,4,176
2021-06-26,A,99.48,96.03,10,60,0,1,Online,South,2021,6,5,177
2021-06-27,A,90.27,92.67,14,60,1,1,Store,West,2021,6,6,178
2021-06-28,A,134.65,121.2,7,60,1,0,Online,West,2021,6,0,179
2021-06-29,A,92.85,102.06,9,60,0,0,Online,North,2021,6,1,180
2021-06-30,A,90.65,98.26,8,60,0,0,Online,East,2021,6,2,181
2021-07-01,A,101.45,104.41,7,60,0,0,Online,East,2021,7,3,182
2021-07-02,A,111.94,100.32,10,60,1,0,Online,West,2021,7,4,183
2021-07-03,A,72.0,67.1,11,60,0,1,Online,South,2021,7,5,184
2021-07-04,A,104.29,109.14,9,60,0,1,Online,West,2021,7,6,185
2021-07-05,A,96.47,97.41,10,60,1,0,Online,West,2021,7,0,186
2021-07-06,A,72.0,74.0,12,60,1,0,Online,South,2021,7,1,187
2021-07-07,A,116.56,124.73,7,60,0,0,Store,West,2021,7,2,188
2021-07-08,A,112.31,118.96,7,60,0,0,Store,South,2021,7,3,189
2021-07-09,A,102.92,117.17,8,60,0,0,Store,South,2021,7,4,190
2021-07-10,A,94.45,101.34,8,60,0,1,Store,South,2021,7,5,191
2021-07-11,A,87.84,79.75,10,60,0,1,Online,North,2021,7,6,192
2021-07-12,A,79.6,82.8,10,60,0,0,Store,South,2021,7,0,193
2021-07-13,A,117.8,113.98,6,60,0,0,Store,South,2021,7,1,194
2021-07-14,A,102.63,89.33,7,60,0,0,Store,South,2021,7,2,195
2021-07-15,A,96.49,83.69,8,60,0,0,Store,South,2021,7,3,196
2021-07-16,A,91.62,98.71,8,60,0,0,Online,South,2021,7,4,197
2021-07-17,A,117.05,108.36,7,60,0,1,Online,South,2021,7,5,198
2021-07-18,A,81.55,88.76,10,60,0,1,Online,South,2021,7,6,199
2021-07-19,A,89.15,79.29,10,60,1,0,Store,West,2021,7,0,200
2021-07-20,A,109.75,107.11,6,60,0,0,Online,North,2021,7,1,201
2021-07-21,A,72.3,68.41,9,60,0,0,Store,East,2021,7,2,202
2021-07-22,A,101.11,97.12,8,60,1,0,Online,West,2021,7,3,203
2021-07-23,A,93.72,82.22,7,60,0,0,Online,South,2021,7,4,204
2021-07-24,A,109.64,97.51,8,60,0,1,Store,East,2021,7,5,205
2021-07-25,A,97.58,82.98,7,60,0,1,Store,West,2021,7,6,206
2021-07-26,A,79.63,79.43,8,60,0,0,Online,North,2021,7,0,207
2021-07-27,A,78.2,89.56,10,60,0,0,Online,South,2021,7,1,208
2021-07-28,A,93.22,96.01,5,60,0,0,Store,North,2021,7,2,209
2021-07-29,A,114.1,101.98,6,60,0,0,Online,East,2021,7,3,210
2021-07-30,A,136.03,144.29,5,60,0,0,Online,West,2021,7,4,211
2021-07-31,A,100.94,112.52,7,60,0,1,Store,South,2021,7,5,212
2021-08-01,A,84.98,86.7,8,60,0,1,Store,South,2021,8,6,213
2021-08-02,A,101.53,115.28,6,60,0,0,Store,North,2021,8,0,214
2021-08-03,A,127.18,141.33,6,60,0,0,Store,South,2021,8,1,215
2021-08-04,A,94.97,99.55,8,60,0,0,Online,South,2021,8,2,216
2021-08-05,A,131.13,132.17,5,60,0,0,Online,South,2021,8,3,217
2021-08-06,A,125.98,125.2,6,60,0,0,Online,South,2021,8,4,218
2021-08-07,A,84.53,91.87,8,60,0,1,Online,South,2021,8,5,219
2021-08-08,A,107.59,107.37,5,60,0,1,Online,North,2021,8,6,220
2021-08-09,A,96.14,106.76,6,60,0,0,Store,West,2021,8,0,221
2021-08-10,A,120.77,130.47,6,60,0,0,Online,East,2021,8,1,222
2021-08-11,A,76.57,81.75,10,60,0,0,Store,South,2021,8,2,223
2021-08-12,A,109.0,125.09,7,60,0,0,Online,East,2021,8,3,224
2021-08-13,A,122.15,130.69,6,60,0,0,Store,West,2021,8,4,225
2021-08-14,A,124.9,120.13,6,60,0,1,Online,South,2021,8,5,226
2021-08-15,A,75.24,83.61,9,60,0,1,Online,North,2021,8,6,227
2021-08-16,A,89.71,93.81,7,60,0,0,Online,East,2021,8,0,228
2021-08-17,A,80.58,87.19,8,60,0,0,Store,East,2021,8,1,229
2021-08-18,A,106.5,104.64,5,60,0,0,Online,West,2021,8,2,230
2021-08-19,A,96.11,88.87,7,60,0,0,Store,West,2021,8,3,231
2021-08-20,A,80.55,83.1,6,60,0,0,Online,North,2021,8,4,232
2021-08-21,A,105.73,108.44,8,60,1,1,Online,North,2021,8,5,233
2021-08-22,A,95.18,82.38,6,60,0,1,Online,North,2021,8,6,234
2021-08-23,A,97.15,97.36,6,60,0,0,Online,North,2021,8,0,235
2021-08-24,A,129.58,110.81,4,60,0,0,Store,East,2021,8,1,236
2021-08-25,A,114.97,114.59,4,60,0,0,Online,West,2021,8,2,237
2021-08-26,A,100.96,90.73,6,60,0,0,Store,North,2021,8,3,238
2021-08-27,A,116.1,104.85,5,60,0,0,Store,South,2021,8,4,239
2021-08-28,A,98.46,90.9,8,60,1,1,Store,North,2021,8,5,240
2021-08-29,A,116.58,106.64,6,60,0,1,Online,North,2021,8,6,241
2021-08-30,A,72.24,64.85,8,60,0,0,Online,North,2021,8,0,242
2021-08-31,A,115.08,124.83,5,60,0,0,Store,West,2021,8,1,243
2021-09-01,A,118.35,133.46,5,60,0,0,Store,North,2021,9,2,244
2021-09-02,A,95.54,104.65,7,60,0,0,Online,North,2021,9,3,245
2021-09-03,A,116.64,120.48,4,60,0,0,Online,North,2021,9,4,246
2021-09-04,A,76.71,73.79,8,60,0,1,Online,East,2021,9,5,247
2021-09-05,A,106.77,115.07,5,60,0,1,Online,West,2021,9,6,248
2021-09-06,A,72.0,61.75,9,60,0,0,Online,South,2021,9,0,249
2021-09-07,A,75.54,75.01,7,60,0,0,Online,South,2021,9,1,250
2021-09-08,A,96.21,108.54,6,60,0,0,Store,South,2021,9,2,251
2021-09-09,A,93.0,96.27,6,60,0,0,Store,North,2021,9,3,252
2021-09-10,A,102.7,96.88,6,60,0,0,Store,North,2021,9,4,253
2021-09-11,A,84.12,93.19,8,60,0,1,Online,East,2021,9,5,254
2021-09-12,A,102.41,94.93,7,60,1,1,Online,East,2021,9,6,255
2021-09-13,A,93.08,93.82,6,60,0,0,Online,South,2021,9,0,256
2021-09-14,A,100.73,92.52,5,60,0,0,Store,South,2021,9,1,257
2021-09-15,A,111.1,120.09,5,60,0,0,Online,West,2021,9,2,258
2021-09-16,A,112.04,109.48,5,60,0,0,Online,West,2021,9,3,259
2021-09-17,A,96.33,86.3,5,60,0,0,Store,North,2021,9,4,260
2021-09-18,A,97.22,83.33,6,60,0,1,Store,West,2021,9,5,261
2021-09-19,A,80.1,83.28,8,60,0,1,Online,West,2021,9,6,262
2021-09-20,A,106.22,103.17,5,60,0,0,Store,North,2021,9,0,263
2021-09-21,A,105.85,100.68,7,60,1,0,Store,West,2021,9,1,264
2021-09-22,A,91.27,83.79,5,60,0,0,Online,North,2021,9,2,265
2021-09-23,A,107.4,93.54,5,60,0,0,Online,West,2021,9,3,266
2021-09-24,A,106.94,101.3,6,60,0,0,Store,East,2021,9,4,267
2021-09-25,A,77.51,89.03,7,60,0,1,Online,South,2021,9,5,268
2021-09-26,A,108.37,97.82,6,60,0,1,Online,West,2021,9,6,269
2021-09-27,A,76.66,84.06,6,60,0,0,Online,West,2021,9,0,270
2021-09-28,A,91.99,82.4,6,60,1,0,Store,West,2021,9,1,271
2021-09-29,A,111.6,97.97,4,60,0,0,Store,West,2021,9,2,272
2021-09-30,A,102.0,110.63,5,60,0,0,Online,North,2021,9,3,273
2021-10-01,A,89.77,86.56,5,60,0,0,Online,North,2021,10,4,274
2021-10-02,A,87.28,85.9,6,60,0,1,Online,East,2021,10,5,275
2021-10-03,A,105.48,107.59,7,60,0,1,Online,North,2021,10,6,276
2021-10-04,A,101.23,97.6,6,60,1,0,Store,South,2021,10,0,277
2021-10-05,A,94.58,103.62,5,60,0,0,Online,East,2021,10,1,278
2021-10-06,A,84.45,96.5,7,60,0,0,Store,North,2021,10,2,279
2021-10-07,A,72.0,74.3,7,60,0,0,Store,South,2021,10,3,280
2021-10-08,A,100.16,97.11,5,60,0,0,Online,West,2021,10,4,281
2021-10-09,A,114.26,105.09,4,60,0,1,Store,West,2021,10,5,282
2021-10-10,A,72.96,73.1,8,60,0,1,Online,South,2021,10,6,283
2021-10-11,A,75.15,72.59,8,60,0,0,Online,North,2021,10,0,284
2021-10-12,A,102.23,117.06,5,60,0,0,Online,North,2021,10,1,285
2021-10-13,A,89.36,80.72,6,60,0,0,Store,West,2021,10,2,286
2021-10-14,A,76.99,79.85,7,60,0,0,Online,East,2021,10,3,287
2021-10-15,A,93.51,97.83,7,60,0,0,Online,South,2021,10,4,288
2021-10-16,A,108.12,116.86,6,60,0,1,Online,East,2021,10,5,289
2021-10-17,A,120.54,123.51,5,60,0,1,Online,North,2021,10,6,290
2021-10-18,A,85.09,86.31,6,60,0,0,Store,East,2021,10,0,291
2021-10-19,A,94.16,98.44,8,60,1,0,Store,North,2021,10,1,292
2021-10-20,A,122.07,136.43,6,60,1,0,Store,North,2021,10,2,293
2021-10-21,A,97.03,109.56,6,60,0,0,Store,West,2021,10,3,294
2021-10-22,A,121.16,135.52,5,60,0,0,Store,West,2021,10,4,295
2021-10-23,A,115.16,101.54,7,60,1,1,Online,West,2021,10,5,296
2021-10-24,A,94.52,82.36,6,60,0,1,Store,North,2021,10,6,297
2021-10-25,A,88.46,101.51,6,60,1,0,Store,East,2021,10,0,298
2021-10-26,A,93.23,82.0,5,60,0,0,Store,West,2021,10,1,299
2021-10-27,A,88.03,88.42,8,60,1,0,Store,West,2021,10,2,300
2021-10-28,A,78.67,71.73,8,60,0,0,Store,South,2021,10,3,301
2021-10-29,A,114.43,108.33,5,60,0,0,Online,South,2021,10,4,302
2021-10-30,A,121.83,130.9,8,60,1,1,Store,East,2021,10,5,303
2021-10-31,A,87.56,84.31,7,60,0,1,Online,South,2021,10,6,304
2021-11-01,A,96.68,107.9,6,60,0,0,Online,West,2021,11,0,305
2021-11-02,A,111.19,103.13,5,60,0,0,Store,South,2021,11,1,306
2021-11-03,A,118.21,126.31,5,60,0,0,Store,East,2021,11,2,307
2021-11-04,A,116.87,108.78,4,60,0,0,Store,South,2021,11,3,308
2021-11-05,A,106.0,116.1,5,60,0,0,Online,West,2021,11,4,309
2021-11-06,A,85.39,92.01,6,60,0,1,Store,South,2021,11,5,310
2021-11-07,A,127.17,141.41,6,60,0,1,Store,East,2021,11,6,311
2021-11-08,A,103.09,112.74,5,60,0,0,Store,West,2021,11,0,312
2021-11-09,A,96.86,105.58,6,60,0,0,Online,West,2021,11,1,313
2021-11-10,A,106.5,112.5,6,60,0,0,Online,West,2021,11,2,314
2021-11-11,A,78.25,70.01,6,60,0,0,Store,North,2021,11,3,315
2021-11-12,A,95.69,99.8,6,60,0,0,Online,South,2021,11,4,316
2021-11-13,A,78.72,83.34,7,60,0,1,Store,West,2021,11,5,317
2021-11-14,A,93.76,91.01,8,60,1,1,Online,East,2021,11,6,318
2021-11-15,A,101.9,103.78,5,60,0,0,Store,South,2021,11,0,319
2021-11-16,A,124.09,106.33,5,60,0,0,Store,East,2021,11,1,320
2021-11-17,A,97.45,105.78,6,60,0,0,Store,West,2021,11,2,321
2021-11-18,A,72.0,63.84,8,60,0,0,Online,East,2021,11,3,322
2021-11-19,A,107.2,114.78,6,60,1,0,Store,North,2021,11,4,323
2021-11-20,A,106.84,106.71,6,60,0,1,Store,East,2021,11,5,324
2021-11-21,A,94.42,96.45,8,60,0,1,Online,North,2021,11,6,325
2021-11-22,A,110.77,113.64,7,60,0,0,Store,East,2021,11,0,326
2021-11-23,A,115.49,127.34,6,60,0,0,Store,South,2021,11,1,327
2021-11-24,A,102.35,106.37,6,60,0,0,Store,East,2021,11,2,328
2021-11-25,A,124.92,134.87,5,60,0,0,Store,West,2021,11,3,329
2021-11-26,A,110.93,110.0,6,60,0,0,Online,South,2021,11,4,330
2021-11-27,A,85.35,78.88,9,60,1,1,Online,West,2021,11,5,331
2021-11-28,A,83.96,92.65,7,60,0,1,Online,West,2021,11,6,332
2021-11-29,A,72.0,68.7,12,60,1,0,Online,West,2021,11,0,333
2021-11-30,A,84.05,93.69,8,60,0,0,Store,West,2021,11,1,334
2021-12-01,A,113.27,129.62,5,60,0,0,Store,South,2021,12,2,335
2021-12-02,A,91.64,86.38,8,60,1,0,Store,North,2021,12,3,336
2021-12-03,A,88.98,98.34,7,60,0,0,Online,North,2021,12,4,337
2021-12-04,A,92.62,93.8,7,60,0,1,Online,South,2021,12,5,338
2021-12-05,A,98.76,98.31,7,60,0,1,Store,West,2021,12,6,339
2021-12-06,A,96.99,107.52,7,60,0,0,Store,West,2021,12,0,340
2021-12-07,A,100.31,109.53,6,60,0,0,Online,East,2021,12,1,341
2021-12-08,A,72.0,80.04,9,60,0,0,Store,West,2021,12,2,342
2021-12-09,A,78.31,87.18,11,60,1,0,Store,East,2021,12,3,343
2021-12-10,A,101.29,108.91,7,60,0,0,Online,West,2021,12,4,344
2021-12-11,A,113.25,114.56,7,60,0,1,Online,West,2021,12,5,345
2021-12-12,A,72.0,63.22,9,60,0,1,Online,West,2021,12,6,346
2021-12-13,A,72.54,78.91,10,60,0,0,Store,East,2021,12,0,347
2021-12-14,A,82.87,92.74,9,60,0,0,Online,South,2021,12,1,348
2021-12-15,A,90.35,100.03,11,60,1,0,Online,West,2021,12,2,349
2021-12-16,A,138.16,118.82,5,60,0,0,Store,West,2021,12,3,350
2021-12-17,A,97.01,100.36,7,60,0,0,Store,West,2021,12,4,351
2021-12-18,A,87.11,99.87,11,60,0,1,Online,South,2021,12,5,352
2021-12-19,A,84.06,93.7,11,60,0,1,Online,East,2021,12,6,353
2021-12-20,A,90.95,78.11,10,60,1,0,Online,South,2021,12,0,354
2021-12-21,A,87.92,97.37,11,60,1,0,Online,East,2021,12,1,355
